soc,occ_title,a_pct25_2021,a_pct25_2025,tot_emp_2025,nominal_chg,real_chg,arrow,note
29-1125,Recreational Therapists,37850,50240,14930,0.3273,0.1115,up,
29-1126,Respiratory Therapists,59280,74520,139790,0.2571,0.0527,up,
29-1127,Speech-Language Pathologists,61970,77730,183390,0.2543,0.0504,up,
29-1128,Exercise Physiologists,46120,49620,8560,0.0759,-0.0990,down,
29-1129,"Therapists, All Other",46980,58850,22640,0.2527,0.0490,up,
29-1131,Veterinarians,78920,101460,83900,0.2856,0.0766,up,
29-1141,Registered Nurses,61790,80330,3379720,0.3000,0.0887,up,
29-1151,Nurse Anesthetists,164860,206730,51840,0.2540,0.0501,up,
29-1161,Nurse Midwives,96040,116510,7920,0.2131,0.0159,flat,
29-1171,Nurse Practitioners,99540,117990,323040,0.1854,-0.0074,flat,
29-1181,Audiologists,71390,79340,13660,0.1114,-0.0693,down,
29-1211,Anesthesiologists,#,207000,38760,,,none,wage suppressed/annual-only
29-1212,Cardiologists,#,274280,17290,,,none,wage suppressed/annual-only
29-1213,Dermatologists,170020,139990,11370,-0.1766,-0.3105,down,"volatile: likely sampling artifact, consider suppressing"
29-1214,Emergency Medicine Physicians,#,184830,32880,,,none,wage suppressed/annual-only
29-1215,Family Medicine Physicians,143830,162420,107510,0.1292,-0.0544,down,
29-1216,General Internal Medicine Physicians,122140,124470,67150,0.0191,-0.1466,down,
29-1217,Neurologists,130920,155990,10590,0.1915,-0.0022,flat,
29-1218,Obstetricians and Gynecologists,198290,179810,21260,-0.0932,-0.2406,down,
29-1221,"Pediatricians, General",129410,138290,39390,0.0686,-0.1051,down,
29-1222,"Physicians, Pathologists",136160,186300,11110,0.3682,0.1458,up,
29-1223,Psychiatrists,128380,154150,27980,0.2007,0.0055,flat,
29-1224,Radiologists,165610,216800,26770,0.3091,0.0962,up,
29-1229,"Physicians, All Other",96450,102930,342720,0.0672,-0.1063,down,
29-1241,"Ophthalmologists, Except Pediatric",165380,173650,8950,0.0500,-0.1207,down,
29-1242,"Orthopedic Surgeons, Except Pediatric",193280,180610,14100,-0.0656,-0.2175,down,
29-1243,Pediatric Surgeons,172240,336380,1190,0.9530,0.6354,up,"volatile: likely sampling artifact, consider suppressing; small occupation (<5k employed)"
29-1249,"Surgeons, All Other",129070,134850,25140,0.0448,-0.1251,down,
29-1291,Acupuncturists,38000,55380,7830,0.4574,0.2204,up,
29-1292,Dental Hygienists,73540,83570,222740,0.1364,-0.0484,down,
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",71120,83780,28630,0.1780,-0.0135,flat,
29-2010,Clinical Laboratory Technologists and Technicians,37990,47650,332940,0.2543,0.0503,up,
29-2031,Cardiovascular Technologists and Technicians,37990,47890,62960,0.2606,0.0556,up,
29-2032,Diagnostic Medical Sonographers,62560,80430,90160,0.2856,0.0766,up,
29-2033,Nuclear Medicine Technologists,74820,86720,17080,0.1590,-0.0294,flat,
29-2034,Radiologic Technologists and Technicians,48900,64810,230490,0.3254,0.1099,up,
29-2035,Magnetic Resonance Imaging Technologists,62090,81040,43390,0.3052,0.0930,up,
29-2036,Medical Dosimetrists,103640,132080,3410,0.2744,0.0672,up,small occupation (<5k employed)
29-2042,Emergency Medical Technicians,28920,37960,180510,0.3126,0.0992,up,
29-2043,Paramedics,37120,49660,100610,0.3378,0.1203,up,
29-2051,Dietetic Technicians,28400,33880,31560,0.1930,-0.0010,flat,
29-2052,Pharmacy Technicians,29460,37850,471680,0.2848,0.0759,up,
29-2053,Psychiatric Technicians,29210,38430,156960,0.3156,0.1017,up,
29-2055,Surgical Technologists,46440,54690,117460,0.1776,-0.0138,flat,
29-2056,Veterinary Technologists and Technicians,29810,38910,129140,0.3053,0.0930,up,
29-2057,Ophthalmic Medical Technicians,30950,38170,71010,0.2333,0.0327,up,
29-2061,Licensed Practical and Licensed Vocational Nurses,46410,59000,648410,0.2713,0.0646,up,
29-2072,Medical Records Specialists,36930,43490,194720,0.1776,-0.0138,flat,
29-2081,"Opticians, Dispensing",30310,38820,73530,0.2808,0.0725,up,
29-2091,Orthotists and Prosthetists,55710,61290,9390,0.1002,-0.0787,down,
29-2092,Hearing Aid Specialists,39130,48390,11270,0.2366,0.0356,up,
29-2099,"Health Technologists and Technicians, All Other",36690,44170,182610,0.2039,0.0081,flat,
29-9021,Health Information Technologists and Medical Registrars,37500,48940,38100,0.3051,0.0929,up,
29-9091,Athletic Trainers,46590,55130,30500,0.1833,-0.0091,flat,
29-9092,Genetic Counselors,76300,88900,3740,0.1651,-0.0243,flat,small occupation (<5k employed)
29-9093,Surgical Assistants,37850,50170,22270,0.3255,0.1100,up,
29-9099,"Healthcare Practitioners and Technical Workers, All Other",37440,47750,35010,0.2754,0.0680,up,
31-1120,Home Health and Personal Care Aides,24090,31920,4305810,0.3250,0.1096,up,
31-1131,Nursing Assistants,28900,37260,1448910,0.2893,0.0796,up,
31-1132,Orderlies,28560,35570,52440,0.2454,0.0429,up,
31-1133,Psychiatric Aides,25560,37750,35520,0.4769,0.2368,up,
31-2011,Occupational Therapy Assistants,50880,61710,51290,0.2129,0.0156,flat,
31-2012,Occupational Therapy Aides,28350,35920,4310,0.2670,0.0610,up,small occupation (<5k employed)
31-2021,Physical Therapist Assistants,48670,59820,112430,0.2291,0.0292,flat,
31-2022,Physical Therapist Aides,24240,30410,48150,0.2545,0.0506,up,
31-9011,Massage Therapists,34770,43480,98790,0.2505,0.0472,up,
31-9091,Dental Assistants,37000,44340,387790,0.1984,0.0035,flat,
31-9092,Medical Assistants,30200,38470,817870,0.2738,0.0667,up,
31-9093,Medical Equipment Preparers,35230,39800,77420,0.1297,-0.0540,down,
31-9094,Medical Transcriptionists,28220,34150,41550,0.2101,0.0134,flat,
31-9095,Pharmacy Aides,27880,34980,39530,0.2547,0.0507,up,
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,28200,35660,126580,0.2645,0.0589,up,
31-9097,Phlebotomists,30430,38190,143540,0.2550,0.0509,up,
31-9099,"Healthcare Support Workers, All Other",29990,39470,109740,0.3161,0.1021,up,
33-1011,First-Line Supervisors of Correctional Officers,47680,59890,53380,0.2561,0.0518,up,
33-1012,First-Line Supervisors of Police and Detectives,67210,81860,154610,0.2180,0.0199,flat,
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,61270,72140,99140,0.1774,-0.0140,flat,
33-1091,First-Line Supervisors of Security Workers,38290,45030,81480,0.1760,-0.0152,flat,
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",50020,52400,20690,0.0476,-0.1228,down,
33-2011,Firefighters,37140,44490,345990,0.1979,0.0031,flat,
33-2021,Fire Inspectors and Investigators,50480,58690,13800,0.1626,-0.0264,flat,
33-2022,Forest Fire Inspectors and Prevention Specialists,33000,43760,2780,0.3261,0.1104,up,small occupation (<5k employed)
33-3011,Bailiffs,37420,43720,17310,0.1684,-0.0216,flat,
33-3012,Correctional Officers and Jailers,38590,48640,380500,0.2604,0.0555,up,
33-3021,Detectives and Criminal Investigators,61600,69330,114430,0.1255,-0.0575,down,
33-3031,Fish and Game Wardens,47260,61430,5770,0.2998,0.0885,up,
33-3041,Parking Enforcement Workers,34550,39870,9050,0.1540,-0.0337,down,
33-3051,Police and Sheriff's Patrol Officers,50630,59290,670520,0.1710,-0.0194,flat,
33-3052,Transit and Railroad Police,51130,68990,4390,0.3493,0.1299,up,small occupation (<5k employed)
33-9011,Animal Control Workers,31590,37750,12070,0.1950,0.0007,flat,
33-9021,Private Detectives and Investigators,40290,40700,35580,0.0102,-0.1541,down,
33-9031,Gambling Surveillance Officers and Gambling Investigators,29470,36270,9520,0.2307,0.0306,up,
33-9032,Security Guards,28890,35210,1283470,0.2188,0.0206,flat,
33-9091,Crossing Guards and Flaggers,28660,34430,94360,0.2013,0.0060,flat,
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",22140,28880,157550,0.3044,0.0923,up,
33-9093,Transportation Security Screeners,41560,57050,50290,0.3727,0.1495,up,
33-9094,School Bus Monitors,24900,31760,78420,0.2755,0.0681,up,
33-9099,"Protective Service Workers, All Other",31190,35420,81500,0.1356,-0.0490,down,
35-1011,Chefs and Head Cooks,39130,48440,200040,0.2379,0.0366,up,
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,29430,35980,1223240,0.2226,0.0238,flat,
35-2011,"Cooks, Fast Food",21610,27260,641070,0.2615,0.0563,up,
35-2012,"Cooks, Institution and Cafeteria",24500,32440,441050,0.3241,0.1088,up,
35-2013,"Cooks, Private Household",30160,40630,1100,0.3471,0.1281,up,small occupation (<5k employed)
35-2014,"Cooks, Restaurant",27810,34010,1409890,0.2229,0.0241,flat,
35-2015,"Cooks, Short Order",22880,30610,138650,0.3378,0.1203,up,
35-2019,"Cooks, All Other",27380,32150,19350,0.1742,-0.0167,flat,
35-2021,Food Preparation Workers,23520,29950,893600,0.2734,0.0663,up,
35-3011,Bartenders,20560,27400,756390,0.3327,0.1160,up,
35-3023,Fast Food and Counter Workers,21970,27700,3854050,0.2608,0.0558,up,
35-3031,Waiters and Waitresses,20020,27750,2270910,0.3861,0.1607,up,
35-3041,"Food Servers, Nonrestaurant",23970,31190,293900,0.3012,0.0896,up,
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,22240,28330,542750,0.2738,0.0667,up,
35-9021,Dishwashers,22920,29690,477450,0.2954,0.0847,up,
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",21750,27570,432690,0.2676,0.0615,up,
35-9099,"Food Preparation and Serving Related Workers, All Other",23660,31200,84630,0.3187,0.1043,up,
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,33710,40100,178760,0.1896,-0.0039,flat,
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",38880,47390,130760,0.2189,0.0207,flat,
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",24550,32240,2209760,0.3132,0.0997,up,
37-2012,Maids and Housekeeping Cleaners,23470,30350,860670,0.2931,0.0829,up,
37-2019,"Building Cleaning Workers, All Other",28510,37440,17210,0.3132,0.0997,up,
37-2021,Pest Control Workers,30520,37440,102620,0.2267,0.0273,flat,
37-3011,Landscaping and Groundskeeping Workers,29360,36190,952640,0.2326,0.0322,up,
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",33580,39160,27050,0.1662,-0.0234,flat,
37-3013,Tree Trimmers and Pruners,38110,44840,55160,0.1766,-0.0147,flat,
37-3019,"Grounds Maintenance Workers, All Other",30150,37520,13630,0.2444,0.0421,up,
39-1013,First-Line Supervisors of Gambling Services Workers,38960,51340,26010,0.3178,0.1035,up,
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",31560,39400,103190,0.2484,0.0454,up,
39-1022,First-Line Supervisors of Personal Service Workers,33710,39050,114110,0.1584,-0.0299,flat,
39-2011,Animal Trainers,28110,33740,18770,0.2003,0.0051,flat,
39-2021,Animal Caretakers,23160,29820,266910,0.2876,0.0782,up,
39-3011,Gambling Dealers,18600,25810,83910,0.3876,0.1620,up,
39-3012,Gambling and Sports Book Writers and Runners,22910,28150,8950,0.2287,0.0289,flat,
39-3019,"Gambling Service Workers, All Other",23080,28390,14140,0.2301,0.0301,up,
39-3021,Motion Picture Projectionists,24960,30040,1480,0.2035,0.0078,flat,small occupation (<5k employed)
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",20650,28310,121770,0.3709,0.1480,up,
39-3091,Amusement and Recreation Attendants,21700,27660,397830,0.2747,0.0674,up,
39-3092,Costume Attendants,31380,38610,6510,0.2304,0.0303,up,
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",23220,31200,15560,0.3437,0.1252,up,
39-3099,"Entertainment Attendants and Related Workers, All Other",20630,26790,7060,0.2986,0.0874,up,
39-4011,Embalmers,37380,48010,3890,0.2844,0.0755,up,small occupation (<5k employed)
39-4012,Crematory Operators,31690,37020,2970,0.1682,-0.0218,flat,small occupation (<5k employed)
39-4021,Funeral Attendants,24490,30380,31090,0.2405,0.0388,up,
39-4031,"Morticians, Undertakers, and Funeral Arrangers",37880,42430,25100,0.1201,-0.0620,down,
39-5011,Barbers,26300,31570,15000,0.2004,0.0052,flat,
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",23960,30120,305710,0.2571,0.0527,up,
39-5091,"Makeup Artists, Theatrical and Performance",78850,34530,2340,-0.5621,-0.6333,down,"volatile: likely sampling artifact, consider suppressing; small occupation (<5k employed)"
39-5092,Manicurists and Pedicurists,26420,34010,152770,0.2873,0.0780,up,
39-5093,Shampooers,22070,28550,8070,0.2936,0.0833,up,
39-5094,Skincare Specialists,29240,36040,72890,0.2326,0.0321,up,
39-6011,Baggage Porters and Bellhops,23320,31200,28510,0.3379,0.1204,up,
39-6012,Concierges,29660,35660,49240,0.2023,0.0068,flat,
39-7010,Tour and Travel Guides,24300,32910,53500,0.3543,0.1341,up,
39-9011,Childcare Workers,22640,29360,518910,0.2968,0.0860,up,
39-9031,Exercise Trainers and Group Fitness Instructors,29580,35280,322930,0.1927,-0.0012,flat,
39-9032,Recreation Workers,24330,31780,331490,0.3062,0.0938,up,
39-9041,Residential Advisors,28820,35510,84760,0.2321,0.0318,up,
39-9099,"Personal Care and Service Workers, All Other",28010,34180,60420,0.2203,0.0219,flat,
41-1011,First-Line Supervisors of Retail Sales Workers,33520,38590,1121800,0.1513,-0.0359,down,
41-1012,First-Line Supervisors of Non-Retail Sales Workers,61490,63940,214390,0.0398,-0.1292,down,
41-2011,Cashiers,22670,28720,3089410,0.2669,0.0609,up,
41-2012,Gambling Change Persons and Booth Cashiers,22860,29630,21530,0.2962,0.0854,up,
41-2021,Counter and Rental Clerks,28660,35630,400810,0.2432,0.0411,up,
41-2022,Parts Salespersons,28530,33110,270070,0.1605,-0.0282,flat,
41-2031,Retail Salespersons,23500,29900,3897860,0.2723,0.0655,up,
41-3011,Advertising Sales Agents,37700,47020,91700,0.2472,0.0444,up,
41-3021,Insurance Sales Agents,38210,46870,479100,0.2266,0.0272,flat,
41-3031,"Securities, Commodities, and Financial Services Sales Agents",48100,56540,489570,0.1755,-0.0157,flat,
41-3041,Travel Agents,31200,41950,55110,0.3446,0.1259,up,
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",39980,47670,1256010,0.1923,-0.0015,flat,
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",61900,75030,284800,0.2121,0.0150,flat,
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",45800,50470,1238190,0.1020,-0.0772,down,
41-9011,Demonstrators and Product Promoters,29040,35160,64520,0.2107,0.0139,flat,
41-9012,Models,*,35710,3780,,,none,wage suppressed/annual-only
41-9021,Real Estate Brokers,42920,46480,46100,0.0829,-0.0931,down,
41-9022,Real Estate Sales Agents,35880,40040,193370,0.1159,-0.0655,down,
41-9031,Sales Engineers,79900,92890,51790,0.1626,-0.0265,flat,
41-9041,Telemarketers,23470,29640,58430,0.2629,0.0575,up,
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",23530,36470,2760,0.5499,0.2979,up,"volatile: likely sampling artifact, consider suppressing; small occupation (<5k employed)"
41-9099,"Sales and Related Workers, All Other",28350,36860,93180,0.3002,0.0888,up,
43-1011,First-Line Supervisors of Office and Administrative Support Workers,47490,55950,1436680,0.1781,-0.0134,flat,
43-2011,"Switchboard Operators, Including Answering Service",28720,34820,34280,0.2124,0.0153,flat,
43-2021,Telephone Operators,29300,36920,3430,0.2601,0.0552,up,small occupation (<5k employed)
43-2099,"Communications Equipment Operators, All Other",37370,46460,1200,0.2432,0.0411,up,small occupation (<5k employed)
43-3011,Bill and Account Collectors,30420,39010,158830,0.2824,0.0739,up,
43-3021,Billing and Posting Clerks,36650,42840,404060,0.1689,-0.0212,flat,
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",36750,43520,1373680,0.1842,-0.0083,flat,
43-3041,Gambling Cage Workers,26000,34510,14430,0.3273,0.1115,up,
43-3051,Payroll and Timekeeping Clerks,37880,47990,153140,0.2669,0.0609,up,
43-3061,Procurement Clerks,36890,43420,55810,0.1770,-0.0144,flat,
43-3071,Tellers,29410,37040,329480,0.2594,0.0547,up,
43-3099,"Financial Clerks, All Other",37040,47510,36260,0.2827,0.0741,up,
43-4011,Brokerage Clerks,47230,58620,35940,0.2412,0.0393,up,
43-4021,Correspondence Clerks,36750,38610,4290,0.0506,-0.1202,down,small occupation (<5k employed)
43-4031,"Court, Municipal, and License Clerks",36680,40810,179750,0.1126,-0.0683,down,
43-4041,"Credit Authorizers, Checkers, and Clerks",36890,40520,12030,0.0984,-0.0802,down,
43-4051,Customer Service Representatives,29700,36870,2595750,0.2414,0.0396,up,
43-4061,"Eligibility Interviewers, Government Programs",37250,45910,154800,0.2325,0.0321,up,
43-4071,File Clerks,29120,36420,73440,0.2507,0.0473,up,
43-4081,"Hotel, Motel, and Resort Desk Clerks",22910,29810,261420,0.3012,0.0896,up,
43-4111,"Interviewers, Except Eligibility and Loan",30020,38330,148060,0.2768,0.0692,up,
43-4121,"Library Assistants, Clerical",23910,31820,85520,0.3308,0.1144,up,
43-4131,Loan Interviewers and Clerks,37000,45120,164790,0.2195,0.0212,flat,
43-4141,New Accounts Clerks,36340,43920,36860,0.2086,0.0121,flat,
43-4151,Order Clerks,30040,39660,75200,0.3202,0.1056,up,
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",37180,44030,90220,0.1842,-0.0083,flat,
43-4171,Receptionists and Information Clerks,28420,33960,910180,0.1949,0.0006,flat,
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,30690,37850,118710,0.2333,0.0328,up,
43-4199,"Information and Record Clerks, All Other",34590,40910,134920,0.1827,-0.0096,flat,
43-5011,Cargo and Freight Agents,37020,45710,97670,0.2347,0.0340,up,
43-5021,Couriers and Messengers,28960,36070,68640,0.2455,0.0430,up,
43-5031,Public Safety Telecommunicators,36890,45210,102500,0.2255,0.0263,flat,
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",35590,42750,202810,0.2012,0.0059,flat,
43-5041,"Meter Readers, Utilities",32790,39410,19430,0.2019,0.0065,flat,
43-5051,Postal Service Clerks,46070,56740,73720,0.2316,0.0313,up,
43-5052,Postal Service Mail Carriers,39640,48940,328820,0.2346,0.0339,up,
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",38880,48880,105200,0.2572,0.0528,up,
43-5061,"Production, Planning, and Expediting Clerks",38060,47820,390160,0.2564,0.0521,up,
43-5071,"Shipping, Receiving, and Inventory Clerks",29840,38200,816870,0.2802,0.0720,up,
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",30210,39180,53300,0.2969,0.0860,up,
43-6011,Executive Secretaries and Executive Administrative Assistants,48720,61390,459910,0.2601,0.0552,up,
43-6012,Legal Secretaries and Administrative Assistants,37560,44450,156280,0.1834,-0.0090,flat,
43-6013,Medical Secretaries and Administrative Assistants,30710,38570,961610,0.2559,0.0517,up,
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",30210,38830,1706790,0.2853,0.0763,up,
43-9021,Data Entry Keyers,29310,35760,127080,0.2201,0.0217,flat,
43-9022,Word Processors and Typists,37110,40800,35010,0.0994,-0.0793,down,
43-9031,Desktop Publishers,30880,43730,3350,0.4161,0.1859,up,small occupation (<5k employed)
43-9041,Insurance Claims and Policy Processing Clerks,37200,44270,214260,0.1901,-0.0034,flat,
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",28990,35470,55230,0.2235,0.0246,flat,
43-9061,"Office Clerks, General",29410,36350,2464940,0.2360,0.0350,up,
43-9071,"Office Machine Operators, Except Computer",29820,36090,25130,0.2103,0.0135,flat,
43-9081,Proofreaders and Copy Markers,34270,41170,4580,0.2013,0.0060,flat,small occupation (<5k employed)
43-9111,Statistical Assistants,38320,42840,4710,0.1180,-0.0638,down,small occupation (<5k employed)
43-9199,"Office and Administrative Support Workers, All Other",29800,34320,192260,0.1517,-0.0356,down,
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",38350,46670,27960,0.2169,0.0191,flat,
45-2011,Agricultural Inspectors,35610,42330,14410,0.1887,-0.0046,flat,
45-2021,Animal Breeders,29630,44320,1330,0.4958,0.2526,up,"volatile: likely sampling artifact, consider suppressing; small occupation (<5k employed)"
45-2041,"Graders and Sorters, Agricultural Products",28430,34320,25180,0.2072,0.0109,flat,
45-2091,Agricultural Equipment Operators,29540,36810,28500,0.2461,0.0435,up,
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",29120,34320,265500,0.1786,-0.0131,flat,
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",25880,31020,32810,0.1986,0.0037,flat,
45-2099,"Agricultural Workers, All Other",29060,33140,3620,0.1404,-0.0450,down,small occupation (<5k employed)
45-4011,Forest and Conservation Workers,29510,37440,6050,0.2687,0.0624,up,
45-4021,Fallers,36560,41360,3130,0.1313,-0.0527,down,small occupation (<5k employed)
45-4022,Logging Equipment Operators,35890,43970,21060,0.2251,0.0259,flat,
45-4023,Log Graders and Scalers,32230,37780,3070,0.1722,-0.0184,flat,small occupation (<5k employed)
45-4029,"Logging Workers, All Other",36190,41900,1700,0.1578,-0.0305,down,small occupation (<5k employed)
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,58000,63400,812210,0.0931,-0.0846,down,
47-2011,Boilermakers,56430,64760,10190,0.1476,-0.0390,down,
47-2021,Brickmasons and Blockmasons,47110,51110,52550,0.0849,-0.0915,down,
47-2022,Stonemasons,37790,45450,7820,0.2027,0.0071,flat,
47-2031,Carpenters,38240,48510,670090,0.2686,0.0623,up,
47-2041,Carpet Installers,36310,41970,13780,0.1559,-0.0321,down,
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",37330,45660,23640,0.2231,0.0243,flat,
47-2043,Floor Sanders and Finishers,30250,41600,3720,0.3752,0.1516,up,small occupation (<5k employed)
47-2044,Tile and Stone Setters,37620,45200,35850,0.2015,0.0061,flat,
47-2051,Cement Masons and Concrete Finishers,37840,47010,206170,0.2423,0.0403,up,
47-2053,Terrazzo Workers and Finishers,38960,54830,1180,0.4073,0.1785,up,small occupation (<5k employed)
47-2061,Construction Laborers,30780,38620,1096780,0.2547,0.0507,up,
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",37630,45610,41820,0.2121,0.0150,flat,
47-2072,Pile Driver Operators,48950,58510,2310,0.1953,0.0009,flat,small occupation (<5k employed)
47-2073,Operating Engineers and Other Construction Equipment Operators,38570,48680,478090,0.2621,0.0569,up,
47-2081,Drywall and Ceiling Tile Installers,38000,47440,83080,0.2484,0.0454,up,
47-2082,Tapers,48040,52730,12840,0.0976,-0.0808,down,
47-2111,Electricians,46900,49430,757220,0.0539,-0.1174,down,
47-2121,Glaziers,37630,46320,58480,0.2309,0.0308,up,
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",34200,43200,44440,0.2632,0.0578,up,
47-2132,"Insulation Workers, Mechanical",38540,48100,25660,0.2481,0.0451,up,
47-2141,"Painters, Construction and Maintenance",36920,44640,225190,0.2091,0.0125,flat,
47-2142,Paperhangers,37670,44890,1570,0.1917,-0.0021,flat,small occupation (<5k employed)
47-2151,Pipelayers,36910,43980,33050,0.1915,-0.0022,flat,
47-2152,"Plumbers, Pipefitters, and Steamfitters",46590,50190,465840,0.0773,-0.0979,down,
47-2161,Plasterers and Stucco Masons,37860,47970,19310,0.2670,0.0610,up,
47-2171,Reinforcing Iron and Rebar Workers,45190,47990,13800,0.0620,-0.1107,down,
47-2181,Roofers,37190,46260,135490,0.2439,0.0416,up,
47-2211,Sheet Metal Workers,39200,47830,119770,0.2202,0.0218,flat,
47-2221,Structural Iron and Steel Workers,45670,49880,68380,0.0922,-0.0854,down,
47-2231,Solar Photovoltaic Installers,37990,46700,31350,0.2293,0.0294,flat,
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",33300,40100,14170,0.2042,0.0084,flat,
47-3012,Helpers--Carpenters,29750,36730,21680,0.2346,0.0339,up,
47-3013,Helpers--Electricians,29630,36830,63630,0.2430,0.0409,up,
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",29400,36830,7490,0.2527,0.0490,up,
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",29260,36940,44330,0.2625,0.0572,up,
47-3016,Helpers--Roofers,29650,37030,6030,0.2489,0.0458,up,
47-3019,"Helpers, Construction Trades, All Other",29660,37030,24770,0.2485,0.0455,up,
47-4011,Construction and Building Inspectors,48360,58860,146720,0.2171,0.0192,flat,
47-4021,Elevator and Escalator Installers and Repairers,62190,79290,23790,0.2750,0.0677,up,
47-4031,Fence Erectors,31920,40400,24480,0.2657,0.0599,up,
47-4041,Hazardous Materials Removal Workers,37070,44720,51710,0.2064,0.0102,flat,
47-4051,Highway Maintenance Workers,36700,43500,154960,0.1853,-0.0074,flat,
47-4061,Rail-Track Laying and Maintenance Equipment Operators,48070,51280,19580,0.0668,-0.1067,down,
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,36240,43530,30650,0.2012,0.0059,flat,
47-4090,Miscellaneous Construction and Related Workers,35090,42810,28380,0.2200,0.0216,flat,
47-5011,"Derrick Operators, Oil and Gas",38270,49880,10590,0.3034,0.0914,up,
47-5012,"Rotary Drill Operators, Oil and Gas",46940,53810,12600,0.1464,-0.0400,down,
47-5013,"Service Unit Operators, Oil and Gas",37990,47480,43140,0.2498,0.0466,up,
47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",37790,47890,34480,0.2673,0.0612,up,
47-5023,"Earth Drillers, Except Oil and Gas",43780,49900,19450,0.1398,-0.0455,down,
47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters",45610,49630,5100,0.0881,-0.0888,down,
47-5041,Continuous Mining Machine Operators,47370,51610,14000,0.0895,-0.0876,down,
47-5043,"Roof Bolters, Mining",47610,71390,2160,0.4995,0.2557,up,"volatile: likely sampling artifact, consider suppressing; small occupation (<5k employed)"
47-5044,"Loading and Moving Machine Operators, Underground Mining",47060,61410,5930,0.3049,0.0927,up,
47-5049,"Underground Mining Machine Operators, All Other",48940,51670,3180,0.0558,-0.1159,down,small occupation (<5k employed)
47-5051,"Rock Splitters, Quarry",30120,42670,3320,0.4167,0.1863,up,small occupation (<5k employed)
47-5071,"Roustabouts, Oil and Gas",36660,38850,44970,0.0597,-0.1126,down,
47-5081,Helpers--Extraction Workers,34600,41430,6700,0.1974,0.0027,flat,
47-5099,"Extraction Workers, All Other",37900,44370,5540,0.1707,-0.0196,flat,
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",51980,62690,617500,0.2060,0.0099,flat,
49-2011,"Computer, Automated Teller, and Office Machine Repairers",34640,38900,65600,0.1230,-0.0596,down,
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",47230,50580,11140,0.0709,-0.1032,down,
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",47040,51830,140920,0.1018,-0.0773,down,
49-2091,Avionics Technicians,56960,63900,18830,0.1218,-0.0606,down,
49-2092,"Electric Motor, Power Tool, and Related Repairers",37360,45190,14450,0.2096,0.0129,flat,
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",59870,63560,6940,0.0616,-0.1110,down,
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",48420,60040,65010,0.2400,0.0384,up,
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",76140,81860,20720,0.0751,-0.0997,down,
