soc,occ_title,a_pct25_2021,a_pct25_2025,tot_emp_2025,nominal_chg,real_chg,arrow,note
15-1252,Software Developers,90870,105210,1687890,0.1578,-0.0305,down,
15-1253,Software Quality Assurance Analysts and Testers,71910,80310,186740,0.1168,-0.0648,down,
15-1254,Web Developers,51100,64230,70190,0.2569,0.0526,up,
15-1255,Web and Digital Interface Designers,57220,73290,113330,0.2808,0.0726,up,
15-1299,"Computer Occupations, All Other",61920,79370,435370,0.2818,0.0734,up,
15-2011,Actuaries,80320,97680,26670,0.2161,0.0184,flat,
15-2021,Mathematicians,78850,88570,2030,0.1233,-0.0594,down,small occupation (<5k employed)
15-2031,Operations Research Analysts,61940,68360,108510,0.1036,-0.0758,down,
15-2041,Statisticians,70120,82220,29030,0.1726,-0.0181,flat,
15-2051,Data Scientists,77620,85660,262440,0.1036,-0.0759,down,
15-2099,"Mathematical Science Occupations, All Other",47330,60750,3720,0.2835,0.0748,up,small occupation (<5k employed)
17-1011,"Architects, Except Landscape and Naval",62500,77960,106770,0.2474,0.0445,up,
17-1012,Landscape Architects,51420,64170,19600,0.2480,0.0450,up,
17-1021,Cartographers and Photogrammetrists,58000,65670,14260,0.1322,-0.0519,down,
17-1022,Surveyors,47690,58170,50830,0.2198,0.0214,flat,
17-2011,Aerospace Engineers,96130,106110,67710,0.1038,-0.0757,down,
17-2021,Agricultural Engineers,61740,82260,1480,0.3324,0.1157,up,small occupation (<5k employed)
17-2031,Bioengineers and Biomedical Engineers,75780,86980,23480,0.1478,-0.0388,down,
17-2041,Chemical Engineers,80140,97820,21070,0.2206,0.0221,flat,
17-2051,Civil Engineers,74250,79930,367840,0.0765,-0.0985,down,
17-2061,Computer Hardware Engineers,99880,126090,76660,0.2624,0.0571,up,
17-2071,Electrical Engineers,78500,92830,198750,0.1825,-0.0097,flat,
17-2072,"Electronics Engineers, Except Computer",81500,101680,96900,0.2476,0.0447,up,
17-2081,Environmental Engineers,74850,83570,38340,0.1165,-0.0650,down,
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",76650,90930,21450,0.1863,-0.0066,flat,
17-2112,Industrial Engineers,76650,83600,365740,0.0907,-0.0867,down,
17-2121,Marine Engineers and Naval Architects,76600,99250,8250,0.2957,0.0850,up,
17-2131,Materials Engineers,76650,88080,22770,0.1491,-0.0377,down,
17-2141,Mechanical Engineers,76050,84130,296810,0.1062,-0.0736,down,
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",70110,85280,6080,0.2164,0.0186,flat,
17-2161,Nuclear Engineers,93840,108690,15280,0.1582,-0.0301,down,
17-2171,Petroleum Engineers,100880,106270,18060,0.0534,-0.1179,down,
17-2199,"Engineers, All Other",77560,90970,154070,0.1729,-0.0178,flat,
17-3011,Architectural and Civil Drafters,47450,55650,103700,0.1728,-0.0179,flat,
17-3012,Electrical and Electronics Drafters,48460,61430,17920,0.2676,0.0615,up,
17-3013,Mechanical Drafters,47230,58080,39960,0.2297,0.0298,flat,
17-3019,"Drafters, All Other",46150,51650,14470,0.1192,-0.0628,down,
17-3021,Aerospace Engineering and Operations Technologists and Technicians,57780,67680,11280,0.1713,-0.0191,flat,
17-3022,Civil Engineering Technologists and Technicians,42110,51490,68520,0.2227,0.0239,flat,
17-3023,Electrical and Electronic Engineering Technologists and Technicians,49330,61610,95130,0.2489,0.0459,up,
